timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
1760637382741573161,9.029388,-6.389618,-9.317398,-0.007324215,-0.23876953,0.4550781,1.6336012,-25.334429,10.455645,0.9717878,-0.21962087,-0.006128099,0.08577635
1760637382751189161,10.6163025,-7.24411,-10.843277,-0.01708984,-0.2314453,0.46093747,1.5363833,-25.254358,10.460993,0.9719297,-0.21886899,-0.0068986034,0.08603104
1760637382760779161,11.4097595,-9.807587,-12.857437,-0.031249996,-0.21728514,0.5180664,1.274397,-25.064445,10.322699,0.972373,-0.21707207,-0.008707257,0.08540859
1760637382770374161,10.799408,-11.02829,-14.07814,-0.014160156,-0.21386719,0.61083984,1.1182152,-24.973095,10.242074,0.9725916,-0.2161875,-0.009808748,0.085043184
1760637382779969161,10.250092,-10.784149,-15.115738,-0.05566406,-0.21679686,0.7089844,0.96085227,-24.88612,10.196505,0.9727737,-0.21533689,-0.0109912,0.08497396
1760637382789564161,9.7026825,-10.35881,-15.97023,-0.034179684,-0.22021484,0.734375,0.80825037,-24.806376,10.041295,0.97302145,-0.21456309,-0.011934586,0.08396088
1760637382799159161,8.054733,-8.893967,-15.97023,-0.055175774,-0.21728516,0.7133789,0.66753066,-24.743483,9.913471,0.9732165,-0.21394035,-0.012843226,0.08315218
1760637382808753161,0.7324219,-8.342743,-16.763687,-0.05322265,-0.24951172,0.6269531,0.53531647,-24.709839,9.843098,0.9733145,-0.2135671,-0.013809875,0.08280801
1760637382818347161,-4.0302277,-5.716324,-16.641617,-0.029296871,-0.29882812,0.66552734,0.3972532,-24.714031,9.766016,0.97334504,-0.21351281,-0.014842016,0.08240975
1760637382827941161,-9.584427,-5.048752,-17.190933,-0.049316403,-0.32910156,0.7558593,0.2839959,-24.76332,9.6742325,0.97330403,-0.21386248,-0.015668722,0.081832305
1760637382837535161,-12.8211975,-4.131317,-17.557144,-0.07324218,-0.36132812,0.85107416,0.17029665,-24.854528,9.559283,0.97319955,-0.21457238,-0.016485006,0.08105269
1760637382847129161,-11.966705,-5.4740906,-18.655777,-0.05957031,-0.38671875,0.9042968,0.09467801,-24.95164,9.467987,0.9730708,-0.21535711,-0.017024744,0.080403134
1760637382856736161,-9.767532,-2.42424,-19.449234,-0.021484371,-0.40185547,0.90087885,-0.08934792,-25.10243,9.222714,0.9729285,-0.2165475,-0.018229747,0.07864407
1760637382866343161,-6.351471,-0.8354187,-21.6465,-0.04882812,-0.3881836,0.9467773,-0.1779096,-25.138887,9.063219,0.9729539,-0.21682245,-0.018704757,0.07745218
1760637382875950161,-2.1381378,-1.2645721,-23.355484,-0.06689453,-0.42236328,1.0986328,-0.2855259,-25.148577,8.9269,0.9730092,-0.21685508,-0.019366995,0.07649708
